variable activity subject average_value
fBodyAcc-mean()-X LAYING 10 -0.391578450863636
fBodyAcc-mean()-X LAYING 12 -0.578920210879375
fBodyAcc-mean()-X LAYING 13 -0.638817912651682
fBodyAcc-mean()-X LAYING 18 -0.714227764615385
fBodyAcc-mean()-X LAYING 20 -0.612641113666949
fBodyAcc-mean()-X LAYING 24 -0.707613779580052
fBodyAcc-mean()-X SITTING 22 -0.0414589456
fBodyAcc-mean()-X SITTING 23 -0.599080886430645
fBodyAcc-mean()-X SITTING 25 -0.748416509682152
fBodyAcc-mean()-X SITTING 26 -0.65109030186199
fBodyAcc-mean()-X SITTING 27 -0.681454795855319
fBodyAcc-mean()-X SITTING 28 -0.68776883432233
fBodyAcc-mean()-X STANDING 2 -0.57377091142947
fBodyAcc-mean()-X STANDING 4 -0.628806379100946
fBodyAcc-mean()-X STANDING 9 -0.579258404408681
fBodyAcc-mean()-X STANDING 10 -0.822505930166667
fBodyAcc-mean()-X STANDING 28 -0.614814832168182
fBodyAcc-mean()-X STANDING 29 -0.579901000186134
fBodyAcc-mean()-X STANDING 30 -0.635650125322193
fBodyAcc-mean()-X WALKING 1 -0.531895161258213
fBodyAcc-mean()-X WALKING 3 -0.625733289873607
fBodyAcc-mean()-X WALKING 5 -0.55123770513245
fBodyAcc-mean()-X WALKING 6 -0.506174926221538
fBodyAcc-mean()-X WALKING 7 -0.593011288564935
fBodyAcc-mean()-X WALKING 8 -0.744952162134343
fBodyAcc-mean()-X WALKING_DOWNSTAIRS 17 -0.622462544449351
fBodyAcc-mean()-X WALKING_DOWNSTAIRS 19 -0.587050355097528
fBodyAcc-mean()-X WALKING_DOWNSTAIRS 21 -0.693486097144118
fBodyAcc-mean()-X WALKING_DOWNSTAIRS 22 -0.63565324919699
fBodyAcc-mean()-X WALKING_UPSTAIRS 8 -0.493100898158791
fBodyAcc-mean()-X WALKING_UPSTAIRS 11 -0.619524028324684
fBodyAcc-mean()-X WALKING_UPSTAIRS 14 -0.619513271851703
